,p_on,p_off,error
0,0.001,0.01,731.9072567403068
20,0.01,0.01,535.286779482137
40,0.02,0.01,22.001706659267946
60,0.03,0.01,68.1214891043108
80,0.04,0.01,35.69069274523579
100,0.05,0.01,21.995256581939916
120,0.06,0.01,26.338412807002186
140,0.07,0.01,31.547825406480467
160,0.08,0.01,15.27884770967677
180,0.09,0.01,33.00118798479756
1,0.001,0.02,760.5654953274035
21,0.01,0.02,1372.1232165468678
41,0.02,0.02,51.289569918567736
61,0.03,0.02,17.913105142223746
81,0.04,0.02,14.825357890277472
101,0.05,0.02,12.176486671287945
121,0.06,0.02,10.068550224319486
141,0.07,0.02,12.11433236012332
161,0.08,0.02,10.214615940813866
181,0.09,0.02,12.370090337317022
2,0.001,0.03,945.9501459183907
22,0.01,0.03,1624.97430996642
42,0.02,0.03,65.86385955636041
62,0.03,0.03,32.468613530317825
82,0.04,0.03,38.138621997426945
102,0.05,0.03,21.162781200074768
122,0.06,0.03,32.10472015914274
142,0.07,0.03,13.471977839606602
162,0.08,0.03,10.63057581929931
182,0.09,0.03,11.197335096652665
3,0.001,0.04,849.3650803119533
23,0.01,0.04,1382.3271336103112
43,0.02,0.04,64.41923172564171
63,0.03,0.04,54.09741339100185
83,0.04,0.04,25.83111454688099
103,0.05,0.04,24.511648180220043
123,0.06,0.04,20.397162905092223
143,0.07,0.04,14.601425110391745
163,0.08,0.04,13.684030886363098
183,0.09,0.04,16.710245019216586
4,0.001,0.05,881.8372005088441
24,0.01,0.05,1449.9682888008854
44,0.02,0.05,92.93907675745842
64,0.03,0.05,46.505834080795964
84,0.04,0.05,46.26286203420334
104,0.05,0.05,32.87169694950306
124,0.06,0.05,22.996953613465735
144,0.07,0.05,18.160140003790666
164,0.08,0.05,19.47393602634387
184,0.09,0.05,14.615499972459915
5,0.001,0.060000000000000005,883.3830366428513
25,0.01,0.060000000000000005,1697.240470948711
45,0.02,0.060000000000000005,71.9342724128282
65,0.03,0.060000000000000005,58.40222827772018
85,0.04,0.060000000000000005,40.22963260058013
105,0.05,0.060000000000000005,45.59479709200915
125,0.06,0.060000000000000005,26.35581479328851
145,0.07,0.060000000000000005,18.196957090654692
165,0.08,0.060000000000000005,19.60729902697763
185,0.09,0.060000000000000005,18.444205146117824
6,0.001,0.06999999999999999,872.3202874003639
26,0.01,0.06999999999999999,1410.5396387202236
46,0.02,0.06999999999999999,196.67580172721955
66,0.03,0.06999999999999999,88.36968411584779
86,0.04,0.06999999999999999,85.74332124810566
106,0.05,0.06999999999999999,33.95308894331955
126,0.06,0.06999999999999999,23.891474032399714
146,0.07,0.06999999999999999,32.26275702321884
166,0.08,0.06999999999999999,26.534511392827223
186,0.09,0.06999999999999999,27.70642011723774
7,0.001,0.08,1164.3150768439036
27,0.01,0.08,1467.0255242206197
47,0.02,0.08,182.16500256446471
67,0.03,0.08,113.1255102184223
87,0.04,0.08,82.59825157731072
107,0.05,0.08,62.230716542004004
127,0.06,0.08,36.86883370987066
147,0.07,0.08,26.639432455589773
167,0.08,0.08,26.183684397923862
187,0.09,0.08,40.570558706526924
8,0.001,0.09,1060.82696516463
28,0.01,0.09,1613.5638336360553
48,0.02,0.09,290.6312701531846
68,0.03,0.09,126.01562571543859
88,0.04,0.09,133.07647406535386
108,0.05,0.09,85.67244910727928
128,0.06,0.09,39.634207030107724
148,0.07,0.09,27.141043133639318
168,0.08,0.09,24.870282759545255
188,0.09,0.09,27.90643289566161
9,0.001,0.09999999999999999,1068.1721640630362
